Percentile	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
wholeblood_1B	10209.0	21899.0	43422.0	70916.0	95142.0	119395.0	141039.0	159151.0	179825.0	195977.0	215129.0	223445.0	243900.0	255723.0	267866.0	278612.0	293290.0	309169.0	319778.0	331339.0	342471.0	355209.0	365518.0	377104.0	388165.0	398199.0	411387.0	420822.0	429273.0	436358.0	446030.0	455915.0	462681.0	469551.0	477037.0	483335.0	488558.0	501372.0	507959.0	516008.0	527136.0	526099.0	539227.0	550336.0	558272.0	562821.0	568912.0	574838.0	579481.0	593226.0	603170.0	602995.0	616442.0	629995.0	636369.0	643240.0	656502.0	660260.0	673713.0	677909.0	697571.0	703690.0	724723.0	732773.0	747030.0	761099.0	765940.0	773285.0	790443.0	801096.0	814149.0	821171.0	834321.0	843472.0	855317.0	863545.0	869195.0	877769.0	887300.0	896882.0	909537.0	912417.0	907569.0	916997.0	918347.0	932525.0	930605.0	932568.0	918946.0	903615.0	882727.0	849211.0	806450.0	755648.0	687710.0	598219.0	488493.0	362956.0	219429.0	92009.0
wholeblood_2B	20214.0	49253.0	96033.0	149458.0	198888.0	248672.0	291160.0	326382.0	365307.0	391882.0	424155.0	442379.0	469458.0	487668.0	506324.0	524697.0	542427.0	563804.0	579997.0	594870.0	607415.0	620424.0	630778.0	642850.0	654387.0	665264.0	672457.0	682692.0	691364.0	694331.0	700576.0	705668.0	707975.0	713110.0	719066.0	722183.0	720254.0	727765.0	728245.0	730880.0	734125.0	728182.0	732374.0	738856.0	740762.0	739313.0	736560.0	736765.0	733346.0	739131.0	741817.0	739611.0	743651.0	748905.0	746707.0	744069.0	745731.0	744125.0	744059.0	740422.0	744721.0	742005.0	749644.0	743161.0	746125.0	746806.0	739501.0	732969.0	737791.0	732314.0	730966.0	723201.0	721236.0	716329.0	710103.0	700378.0	690165.0	679912.0	669719.0	660356.0	652148.0	639622.0	621851.0	607779.0	587996.0	579848.0	557322.0	539555.0	512214.0	487659.0	458227.0	423333.0	383730.0	343529.0	299223.0	249357.0	197612.0	142302.0	86770.0	42455.0
wholeblood_3B	9264.0	19965.0	38275.0	62128.0	84544.0	108374.0	129078.0	146116.0	164340.0	178338.0	193568.0	201966.0	218161.0	228429.0	237941.0	245385.0	257139.0	267475.0	277054.0	287169.0	297723.0	307585.0	315782.0	323626.0	331540.0	339048.0	348859.0	355421.0	362755.0	367035.0	375608.0	382882.0	389261.0	396235.0	404738.0	412261.0	417347.0	426810.0	431717.0	438594.0	443862.0	442065.0	450385.0	458457.0	463056.0	465888.0	470116.0	474271.0	477549.0	488580.0	495896.0	495044.0	504544.0	514493.0	521080.0	527083.0	535310.0	538362.0	547277.0	549515.0	563230.0	566769.0	581575.0	586384.0	597060.0	606884.0	610621.0	614956.0	627448.0	635223.0	644889.0	650450.0	659456.0	667096.0	675672.0	680491.0	684934.0	690944.0	695500.0	702231.0	710520.0	713986.0	709801.0	718554.0	717326.0	728412.0	725618.0	727289.0	713879.0	700650.0	682322.0	657316.0	622683.0	582557.0	529201.0	460648.0	374693.0	280756.0	171348.0	71857.0
wholeblood_4B	15151.0	34106.0	66174.0	105773.0	141318.0	177161.0	208371.0	235121.0	264023.0	284183.0	308309.0	320070.0	343368.0	357983.0	373509.0	386870.0	402208.0	420134.0	433742.0	448200.0	463493.0	475477.0	487248.0	497468.0	508368.0	518647.0	532277.0	541195.0	550779.0	555022.0	564312.0	573619.0	581447.0	590384.0	600096.0	607532.0	610888.0	620451.0	625945.0	631286.0	640391.0	636599.0	643187.0	652400.0	658723.0	661114.0	665386.0	669894.0	673135.0	686167.0	696350.0	696034.0	709222.0	722820.0	727769.0	732451.0	739302.0	741159.0	749342.0	751412.0	766533.0	769261.0	787449.0	788800.0	800601.0	809171.0	810560.0	811550.0	823896.0	827748.0	835475.0	836994.0	844120.0	848033.0	853855.0	855164.0	855068.0	857459.0	859679.0	862443.0	867470.0	862808.0	850861.0	850630.0	841421.0	844088.0	829478.0	821673.0	796640.0	774161.0	744088.0	703367.0	654542.0	600481.0	536169.0	457481.0	364546.0	266216.0	159514.0	69564.0
wholeblood_5B	3746.0	8344.0	17122.0	28932.0	39912.0	51614.0	61824.0	69715.0	78280.0	84863.0	92526.0	95902.0	105152.0	110359.0	114939.0	118656.0	123520.0	129687.0	134531.0	139047.0	143574.0	149202.0	153808.0	158196.0	162311.0	165788.0	171070.0	174886.0	178763.0	181444.0	185382.0	189413.0	192774.0	196153.0	199720.0	203112.0	204664.0	209712.0	212830.0	216054.0	220422.0	219056.0	226025.0	231442.0	234428.0	236517.0	239668.0	242191.0	243621.0	250878.0	254941.0	254744.0	259415.0	264892.0	270977.0	275434.0	281303.0	282779.0	289856.0	291057.0	301374.0	304588.0	313992.0	317884.0	322868.0	328815.0	331258.0	332508.0	339738.0	345354.0	352543.0	357309.0	362868.0	367301.0	373387.0	376911.0	380135.0	385749.0	389081.0	394120.0	401307.0	405316.0	405272.0	412676.0	411834.0	423792.0	422558.0	425211.0	420146.0	418903.0	411620.0	399059.0	382459.0	361510.0	333001.0	291830.0	240518.0	179197.0	109937.0	45038.0
wholeblood_6B	3427.0	7850.0	15676.0	26313.0	36261.0	46135.0	54563.0	61078.0	68372.0	73536.0	80430.0	83836.0	90614.0	93899.0	97238.0	99754.0	103325.0	107426.0	110325.0	113036.0	115567.0	119126.0	122265.0	125146.0	128196.0	130695.0	134082.0	136349.0	138926.0	140531.0	142626.0	145083.0	147657.0	149405.0	151330.0	153176.0	154240.0	157005.0	157973.0	159793.0	162270.0	160897.0	164407.0	167287.0	169119.0	170085.0	172011.0	173925.0	175062.0	179548.0	181736.0	181369.0	184323.0	188045.0	191335.0	193930.0	196747.0	196805.0	201250.0	201760.0	207838.0	209752.0	215154.0	217072.0	219567.0	224221.0	225669.0	227347.0	232826.0	235903.0	239616.0	241741.0	245277.0	248372.0	252314.0	253762.0	256388.0	260021.0	261577.0	264592.0	269104.0	270641.0	269377.0	275052.0	272350.0	282542.0	281875.0	283520.0	280434.0	280038.0	276062.0	268994.0	259131.0	246453.0	229274.0	202741.0	169606.0	128198.0	80201.0	33681.0
wholeblood_7B	3767.0	8444.0	16954.0	28875.0	40153.0	51782.0	61875.0	70489.0	80013.0	86773.0	95222.0	100331.0	108797.0	114391.0	118413.0	122230.0	128082.0	134012.0	138669.0	142584.0	146317.0	152260.0	156270.0	160450.0	164397.0	168375.0	174216.0	177738.0	181484.0	185039.0	188043.0	191902.0	195312.0	198279.0	200857.0	204024.0	205148.0	209485.0	210849.0	213257.0	217240.0	215976.0	220934.0	227084.0	230772.0	232373.0	236241.0	238032.0	239770.0	244868.0	249713.0	249931.0	255112.0	260152.0	264845.0	269609.0	274607.0	275074.0	282542.0	283961.0	293824.0	297229.0	305509.0	308517.0	313183.0	322168.0	324314.0	327948.0	335114.0	340537.0	346173.0	349789.0	354624.0	359215.0	365980.0	369517.0	373370.0	376127.0	380024.0	384275.0	391623.0	394248.0	391231.0	401060.0	399105.0	411151.0	409846.0	412577.0	409092.0	404862.0	398751.0	389129.0	372425.0	352392.0	324259.0	286302.0	238614.0	182495.0	114706.0	47422.0
wholeblood_8B	10449.0	23168.0	44731.0	72749.0	99206.0	127003.0	151854.0	172419.0	194614.0	212067.0	233862.0	244091.0	265810.0	280166.0	293293.0	305297.0	321125.0	337592.0	349789.0	362610.0	376132.0	389150.0	399715.0	410783.0	421296.0	431796.0	443184.0	451688.0	460932.0	468328.0	478563.0	489472.0	496769.0	505556.0	514003.0	521488.0	525896.0	537184.0	545446.0	554633.0	565624.0	564348.0	572987.0	581876.0	589172.0	593374.0	597668.0	601110.0	604248.0	614088.0	623392.0	624030.0	634553.0	646233.0	652935.0	659003.0	668811.0	671789.0	681016.0	686685.0	702208.0	705602.0	722161.0	726126.0	737723.0	749058.0	751192.0	755688.0	770166.0	778239.0	788293.0	791448.0	801076.0	807773.0	817642.0	821326.0	823539.0	828668.0	832585.0	835730.0	843115.0	841749.0	832236.0	837078.0	833101.0	839763.0	830479.0	826622.0	808639.0	792179.0	768501.0	735098.0	691301.0	641475.0	578204.0	498905.0	404794.0	300096.0	181638.0	78280.0
wholeblood_9B	19299.0	46666.0	91220.0	142960.0	191211.0	237689.0	278773.0	312930.0	348982.0	373244.0	403058.0	419253.0	444760.0	461915.0	478496.0	494759.0	510107.0	529150.0	544810.0	557068.0	570573.0	582554.0	591973.0	601795.0	612125.0	620635.0	629706.0	639195.0	650334.0	654399.0	660676.0	666584.0	669873.0	677265.0	684252.0	688347.0	687586.0	695020.0	696510.0	700512.0	705041.0	700317.0	703827.0	711340.0	713998.0	713226.0	714357.0	713430.0	712561.0	719886.0	724645.0	722510.0	728804.0	736347.0	736852.0	738013.0	741897.0	742695.0	745840.0	746140.0	753819.0	751476.0	763064.0	760823.0	766592.0	769760.0	766593.0	764032.0	771510.0	769973.0	772467.0	766596.0	768761.0	767846.0	766134.0	759445.0	754551.0	749408.0	743210.0	738240.0	735848.0	726629.0	709751.0	701484.0	685140.0	679343.0	660408.0	647032.0	620689.0	597268.0	567970.0	530838.0	488416.0	444668.0	393544.0	333450.0	266803.0	195750.0	119777.0	55744.0
wholeblood_10B	6931.0	14684.0	30428.0	50465.0	70494.0	92077.0	111150.0	126939.0	143939.0	156358.0	172594.0	178784.0	197562.0	208337.0	218248.0	226671.0	238166.0	250494.0	260130.0	270656.0	281981.0	292906.0	302286.0	312626.0	322048.0	331545.0	342330.0	349241.0	356732.0	363456.0	372394.0	380765.0	387872.0	396209.0	405192.0	412851.0	418925.0	428577.0	434929.0	440578.0	450698.0	449629.0	458002.0	467368.0	473529.0	477945.0	481698.0	484851.0	487325.0	497770.0	506671.0	507560.0	518330.0	529526.0	536816.0	543455.0	552924.0	556129.0	565196.0	568867.0	583697.0	587953.0	604935.0	610348.0	622140.0	633439.0	638431.0	643394.0	658730.0	666556.0	678324.0	683186.0	691015.0	697627.0	707732.0	713417.0	718926.0	726242.0	733418.0	741491.0	751740.0	753351.0	749019.0	757872.0	760225.0	772528.0	769747.0	770993.0	757966.0	748667.0	731274.0	704751.0	668602.0	627218.0	570177.0	495201.0	403214.0	298165.0	179267.0	73885.0
