sample	quality	batch
wholeblood_1B	A	0531
wholeblood_2B	B	0531
wholeblood_3B	B	0119
wholeblood_4B	B	0119
wholeblood_5B	B	0531
wholeblood_6B	B	0531
wholeblood_7B	C	0531
wholeblood_8B	B	0531
wholeblood_9B	B	0119
wholeblood_10B	B	0531
wholeblood_11B	B	0429
wholeblood_12B	A	0119
wholeblood_13B	B	0531
wholeblood_14B	B	0119
wholeblood_15B	A	0119
wholeblood_16B	B	0531
wholeblood_17B	B	0119
wholeblood_18B	B	0119
wholeblood_19B	A	0119
wholeblood_20B	B	0119
wholeblood_21B	B	0429
wholeblood_22B	B	0531
wholeblood_23B	A	0531
wholeblood_24B	B	0531
wholeblood_25B	B	0531
wholeblood_26B	B	0531
wholeblood_27B	B	0531
wholeblood_28B	B	0531
wholeblood_29B	B	0429
wholeblood_30B	A	0531
wholeblood_31B	B	0531
wholeblood_32B	B	0531
wholeblood_33B	B	0531
wholeblood_34B	A	0531
wholeblood_35B	B	0119
wholeblood_36B	B	0531
wholeblood_37B	B	0119
wholeblood_38B	A	0119
wholeblood_39B	B	0119
wholeblood_40B	B	0429
wholeblood_41B	B	0119
wholeblood_42B	A	0119
wholeblood_43B	B	0119
wholeblood_44B	B	0119
wholeblood_45B	B	0531
wholeblood_46B	B	0531
wholeblood_47B	B	0119
wholeblood_48B	B	0119
wholeblood_49B	B	0119
wholeblood_50B	A	0119
wholeblood_52B	B	0531
wholeblood_53B	B	0531
wholeblood_54B	B	0531
wholeblood_55B	B	0531
wholeblood_56B	B	0531
wholeblood_57B	B	0531
wholeblood_58B	B	0429
wholeblood_59B	B	0531
wholeblood_60B	B	0429
wholeblood_61B	B	0429
wholeblood_62B	B	0531
wholeblood_63B	B	0531
wholeblood_64B	B	0531
wholeblood_65B	B	0531
wholeblood_66B	B	0531
wholeblood_67B	A	0429
wholeblood_68B	B	0429
wholeblood_69B	B	0531
wholeblood_70B	B	0531
wholeblood_71B	B	0531
wholeblood_72B	B	0119
wholeblood_73B	A	0119
wholeblood_74B	C	0119
wholeblood_75B	B	0531
wholeblood_76B	C	0119
wholeblood_77B	C	0119
wholeblood_78B	A	0119
wholeblood_79B	C	0119
wholeblood_80B	C	0119
wholeblood_81B	C	0119
wholeblood_82B	C	0119
wholeblood_83B	C	0119
wholeblood_84B	C	0119
wholeblood_85B	C	0119
wholeblood_86B	C	0429
wholeblood_87B	C	0531
wholeblood_88B	C	0119
wholeblood_89B	A	0119
wholeblood_90B	C	0531
wholeblood_91B	C	0429
wholeblood_92B	C	0531
wholeblood_93B	C	0531
wholeblood_94B	B	0531
wholeblood_95B	C	0531
wholeblood_96B	C	0119
wholeblood_97B	A	0119
wholeblood_98B	A	0119
wholeblood_99B	A	0119
wholeblood_100B	C	0119
wholeblood_101B	C	0119
wholeblood_102B	A	0119
wholeblood_103B	C	0119
wholeblood_104B	C	0119
wholeblood_105B	C	0119
wholeblood_106B	C	0119
wholeblood_107B	C	0531
wholeblood_108B	C	0119
wholeblood_109B	C	0119
wholeblood_110B	C	0119
wholeblood_111B	C	0119
wholeblood_112B	C	0119
wholeblood_113B	C	0531
wholeblood_114B	C	0119
wholeblood_115B	C	0119
wholeblood_116B	C	0119
wholeblood_117B	C	0119
wholeblood_118B	C	0119
wholeblood_119B	C	0531
wholeblood_120B	C	0119
wholeblood_121B	C	0119
wholeblood_122B	C	0119
wholeblood_123B	C	0429
wholeblood_124B	C	0119
wholeblood_125B	C	0119
wholeblood_126B	C	0119
wholeblood_127B	C	0119
wholeblood_128B	C	0119
wholeblood_129B	C	0119
wholeblood_130B	C	0119
wholeblood_131B	C	0119
wholeblood_132B	C	0119
wholeblood_133B	C	0119
wholeblood_134B	C	0119
wholeblood_135B	C	0119
wholeblood_136B	C	0531
wholeblood_137B	C	0119
wholeblood_138B	C	0119
wholeblood_139B	C	0119
wholeblood_140B	C	0119
wholeblood_141B	C	0119
wholeblood_142B	C	0119
wholeblood_143B	C	0119
wholeblood_144B	C	0119
wholeblood_145B	C	0119
wholeblood_146B	C	0119
wholeblood_147B	C	0119
wholeblood_148B	C	0119
wholeblood_149B	C	0119
wholeblood_150B	C	0119
wholeblood_151B	C	0119
wholeblood_152B	C	0119
wholeblood_153B	C	0119
wholeblood_154B	C	0119
wholeblood_155B	C	0119
wholeblood_156B	C	0119
wholeblood_157B	B	0119
wholeblood_158B	B	0119
wholeblood_159B	B	0119
wholeblood_160B	B	0119
wholeblood_161B	B	0119
wholeblood_162B	B	0119
wholeblood_163B	B	0119
wholeblood_164B	A	0119
wholeblood_165B	B	0119
wholeblood_166B	B	0119
wholeblood_167B	A	0119
wholeblood_168B	B	0119
wholeblood_169B	B	0119
wholeblood_170B	B	0119
wholeblood_171B	B	0119
wholeblood_172B	A	0119
wholeblood_173B	B	0119
wholeblood_174B	A	0119
wholeblood_175B	B	0119
wholeblood_176B	A	0119
wholeblood_177B	B	0119
wholeblood_178B	A	0119
wholeblood_179B	B	0119
wholeblood_180B	B	0119
wholeblood_181B	A	0119
wholeblood_182B	B	0119
wholeblood_183B	B	0119
wholeblood_184B	B	0119
wholeblood_185B	B	0119
wholeblood_186B	A	0119
wholeblood_187B	B	0119
wholeblood_188B	B	0119
wholeblood_189B	B	0119
wholeblood_190B	A	0119
wholeblood_191B	A	0119
wholeblood_192B	A	0119
wholeblood_193B	A	0119
wholeblood_194B	A	0119
wholeblood_195B	A	0119
wholeblood_196B	A	0119
wholeblood_197B	A	0119
