sample	cluster	quality	batch
wholeblood_1B	1	A	0531
wholeblood_2B	3	B	0531
wholeblood_3B	1	B	0119
wholeblood_4B	2	B	0119
wholeblood_5B	1	B	0531
wholeblood_6B	1	B	0531
wholeblood_7B	1	C	0531
wholeblood_8B	1	B	0531
wholeblood_9B	2	B	0119
wholeblood_10B	1	B	0531
wholeblood_11B	1	B	0429
wholeblood_12B	1	A	0119
wholeblood_13B	2	B	0531
wholeblood_14B	2	B	0119
wholeblood_15B	2	A	0119
wholeblood_16B	2	B	0531
wholeblood_17B	2	B	0119
wholeblood_18B	2	B	0119
wholeblood_19B	1	A	0119
wholeblood_20B	2	B	0119
wholeblood_21B	2	B	0429
wholeblood_22B	1	B	0531
wholeblood_23B	2	A	0531
wholeblood_24B	1	B	0531
wholeblood_25B	1	B	0531
wholeblood_26B	1	B	0531
wholeblood_27B	1	B	0531
wholeblood_28B	1	B	0531
wholeblood_29B	2	B	0429
wholeblood_30B	2	A	0531
wholeblood_31B	2	B	0531
wholeblood_32B	2	B	0531
wholeblood_33B	1	B	0531
wholeblood_34B	1	A	0531
wholeblood_35B	2	B	0119
wholeblood_36B	1	B	0531
wholeblood_37B	2	B	0119
wholeblood_38B	2	A	0119
wholeblood_39B	2	B	0119
wholeblood_40B	2	B	0429
wholeblood_41B	2	B	0119
wholeblood_42B	2	A	0119
wholeblood_43B	2	B	0119
wholeblood_44B	3	B	0119
wholeblood_45B	1	B	0531
wholeblood_46B	1	B	0531
wholeblood_47B	2	B	0119
wholeblood_48B	3	B	0119
wholeblood_49B	3	B	0119
wholeblood_50B	3	A	0119
wholeblood_52B	1	B	0531
wholeblood_53B	1	B	0531
wholeblood_54B	1	B	0531
wholeblood_55B	1	B	0531
wholeblood_56B	1	B	0531
wholeblood_57B	1	B	0531
wholeblood_58B	1	B	0429
wholeblood_59B	1	B	0531
wholeblood_60B	1	B	0429
wholeblood_61B	1	B	0429
wholeblood_62B	1	B	0531
wholeblood_63B	1	B	0531
wholeblood_64B	2	B	0531
wholeblood_65B	2	B	0531
wholeblood_66B	2	B	0531
wholeblood_67B	2	A	0429
wholeblood_68B	2	B	0429
wholeblood_69B	2	B	0531
wholeblood_70B	2	B	0531
wholeblood_71B	2	B	0531
wholeblood_72B	2	B	0119
wholeblood_73B	1	A	0119
wholeblood_74B	2	C	0119
wholeblood_75B	1	B	0531
wholeblood_76B	1	C	0119
wholeblood_77B	2	C	0119
wholeblood_78B	2	A	0119
wholeblood_79B	2	C	0119
wholeblood_80B	3	C	0119
wholeblood_81B	2	C	0119
wholeblood_82B	2	C	0119
wholeblood_83B	2	C	0119
wholeblood_84B	3	C	0119
wholeblood_85B	2	C	0119
wholeblood_86B	2	C	0429
wholeblood_87B	2	C	0531
wholeblood_88B	2	C	0119
wholeblood_89B	3	A	0119
